combo,variable,top_pct,intersection_size,IOU
"(2, 1, 0)",TotalDeformation,200,647,0.31423020883924235
"(2, 1, 0)",TotalDeformation,300,914,0.40246587406428885
"(2, 1, 0)",TotalDeformation,400,1099,0.4380231167795935
"(2, 1, 0)",TotalDeformation,500,1196,0.4414913252122554
"(2, 1, 0)",TotalDeformation,600,1274,0.43810178817056394
"(2, 1, 0)",DirectionalDeformation_X_axis,50,66,0.036544850498338874
"(2, 1, 0)",DirectionalDeformation_X_axis,100,153,0.07665330661322645
"(2, 1, 0)",DirectionalDeformation_X_axis,200,394,0.1704152249134948
"(2, 1, 0)",DirectionalDeformation_X_axis,300,614,0.23670007710100233
"(2, 1, 0)",DirectionalDeformation_X_axis,400,797,0.2769284225156359
"(2, 1, 0)",DirectionalDeformation_X_axis,500,939,0.2964951057783391
"(2, 1, 0)",DirectionalDeformation_X_axis,600,1057,0.30655452436194897
"(2, 1, 0)",DirectionalDeformation_Y_axis,50,85,0.047274749721913235
"(2, 1, 0)",DirectionalDeformation_Y_axis,100,190,0.09773662551440329
"(2, 1, 0)",DirectionalDeformation_Y_axis,200,399,0.18244170096021947
"(2, 1, 0)",DirectionalDeformation_Y_axis,300,530,0.21712412945514134
"(2, 1, 0)",DirectionalDeformation_Y_axis,400,664,0.25113464447806355
"(2, 1, 0)",DirectionalDeformation_Y_axis,500,768,0.26675929142063215
"(2, 1, 0)",DirectionalDeformation_Y_axis,600,833,0.2675016056518947
"(2, 1, 0)",DirectionalDeformation_Z_axis,50,140,0.08018327605956473
"(2, 1, 0)",DirectionalDeformation_Z_axis,100,383,0.21675155631013016
"(2, 1, 0)",DirectionalDeformation_Z_axis,200,785,0.4140295358649789
"(2, 1, 0)",DirectionalDeformation_Z_axis,300,1042,0.49524714828897337
"(2, 1, 0)",DirectionalDeformation_Z_axis,400,1179,0.5017021276595744
"(2, 1, 0)",DirectionalDeformation_Z_axis,500,1311,0.5055919784033938
"(2, 1, 0)",DirectionalDeformation_Z_axis,600,1392,0.49714285714285716
"(2, 1, 0)",EquivalentStress,50,141,0.07961603613777526
"(2, 1, 0)",EquivalentStress,100,273,0.14375987361769352
"(2, 1, 0)",EquivalentStress,200,498,0.22875516766192008
"(2, 1, 0)",EquivalentStress,300,686,0.2797716150081566
"(2, 1, 0)",EquivalentStress,400,817,0.2986111111111111
"(2, 1, 0)",EquivalentStress,500,951,0.31795386158475425
"(2, 1, 0)",EquivalentStress,600,1061,0.32616046726098985
"(2, 1, 0)",ShearStress_XY,50,141,0.08020477815699659
"(2, 1, 0)",ShearStress_XY,100,275,0.14581124072110285
"(2, 1, 0)",ShearStress_XY,200,530,0.2507095553453169
"(2, 1, 0)",ShearStress_XY,300,707,0.2959397237337798
